ID;Name;Index;DoB;Hire Date; Credit ;Days;ID Company;ID Occupation;
1;Admiral Country;0,867292053;26/06/1935 05:08;06/03/1941 05:08; 3.221,65 ;1122;104;34;
2;Philip Amades;0,089804405;28/11/2007 20:10;16/12/2013 20:10; 1.184,00 ;1235;105;67;
3;Thomas Hariot;0,300534353;26/07/1914 22:53;30/04/1921 22:53; 7.760,66 ;1899;100;39;
4;Acton Souza;0,840957202;23/02/1978 10:03;21/07/1984 10:03; 6.468,77 ;919;102;86;
5;Edward Stafford;0,955258028;24/03/1983 05:02;11/04/1989 05:02; 2.085,97 ;1787;101;115;
6;Thomas Luddington;0,385274718;28/03/1901 21:02;01/01/1908 21:02; 6.963,62 ;1696;104;56;
7;Maruyn Souza;0,183253233;07/12/1970 01:32;04/05/1977 01:32; 3.779,13 ;1092;109;96;
8;Gardyner Souza;0,402320044;02/10/1952 09:55;08/07/1959 09:55; 6.624,44 ;1018;103;107;
9;Vaughan Souza;0,786659949;24/12/1980 00:26;06/02/1988 00:26; 9.472,91 ;353;110;106;
10;Kendall Gentleman Souza;0,412028959;11/01/1904 10:20;21/09/1909 10:20; 1.900,23 ;1553;105;118;
11;Prideox Pedroso;0,325148779;19/08/2007 16:27;14/01/2014 16:27; 3.535,77 ;1703;100;48;
12;Robert Holecroft;0,491487506;16/01/1953 02:37;27/09/1958 02:37; 3.391,57 ;1408;109;53;
13;Rise Courtenay;0,659955088;21/06/1986 20:57;26/03/1993 20:57; 8.554,04 ;727;106;90;
14;Hugh Rogers;0,792283896;20/09/1999 14:23;15/02/2006 14:23; 3.335,90 ;1278;106;50;
15;Thomas Foxe;0,40064487;02/01/1917 18:42;06/05/1922 18:42; 4.598,13 ;715;101;109;
16;Edward Nugen;0,214685861;19/06/1971 14:29;01/08/1978 14:29; 4.885,54 ;1425;100;84;
17;Darby Glande;0,260194263;26/10/1933 20:00;08/12/1940 20:00; 8.129,53 ;137;109;127;
18;Edward Kelle;0,702771801;20/07/1950 11:28;24/04/1957 11:28; 8.371,72 ;1333;108;54;
19;Iohn Gostigo;0,932199816;17/10/1949 00:28;22/07/1956 00:28; 2.982,07 ;1094;106;68;
20;Erasmus Clefs;0,085695985;20/11/1956 18:56;18/04/1963 18:56; 8.263,12 ;1047;104;89;
21;Edward Ketcheman;0,304563947;17/09/2008 00:09;29/05/2014 00:09; 4.054,96 ;724;106;102;
22;Iohn Linsey;0,80327112;04/07/1986 19:40;22/07/1992 19:40; 7.200,25 ;522;109;45;
23;Thomas Rottenbury;0,04340807;26/02/1912 23:33;06/11/1917 23:33; 4.118,51 ;1198;107;122;
24;Roger Deane;0,162716686;08/12/1945 07:19;11/04/1951 07:19; 2.685,08 ;1290;102;53;
25;Iohn Harris;0,062906889;07/10/1973 23:21;08/02/1979 23:21; 2.529,04 ;575;103;101;
26;Frauncis Norris;0,130084232;11/02/2004 15:44;14/06/2009 15:44; 8.908,08 ;1537;103;65;
27;Mathewe Lyne;0,663255352;19/12/1900 07:51;01/02/1908 07:51; 358,00 ;353;110;61;
28;Edward Kettell;0,241828666;07/03/1984 17:49;20/04/1991 17:49; 7.987,32 ;1933;107;100;
29;Thomas Wisse;0,532985485;12/07/1928 05:30;13/11/1933 05:30; 3.148,86 ;124;110;71;
30;Robert Biscombe;0,919408467;09/04/1902 17:55;22/05/1909 17:55; 5.345,09 ;1760;106;112;
31;William Backhouse;0,722727174;06/09/1928 05:37;08/01/1934 05:37; 5.403,16 ;386;103;97;
32;William White;0,588069537;13/10/1909 21:23;24/06/1915 21:23; 3.609,15 ;362;108;31;
33;Henry Potkin;0,443621041;17/03/1946 22:14;04/04/1952 22:14; 3.918,33 ;1218;100;105;
34;Dennis Barnes;0,296827656;14/12/1937 21:42;26/01/1945 21:42; 2.029,05 ;163;110;54;
35;Ioseph Borges;0,074935674;18/05/1991 02:44;05/06/1997 02:44; 2.233,97 ;1753;102;63;
36;Doughan Gannes;0,885407218;03/02/1990 09:03;15/10/1995 09:03; 4.615,47 ;1722;101;45;
37;Joachim Gans;0,019352731;06/08/1945 09:37;18/09/1952 09:37; 7.858,77 ;660;100;119;
38;William Tenche;0,760485589;27/06/1946 10:36;01/04/1953 10:36; 8.935,18 ;1063;100;97;
39;Randall Latham;0,557786895;01/11/1994 02:29;12/07/2000 02:29; 3.244,14 ;761;109;104;
40;Thomas Hulme;0,883527685;28/08/1973 01:26;30/12/1978 01:26; 3.932,69 ;596;109;70;
41;Walter Myll;0,046231608;12/08/1905 03:39;14/12/1910 03:39; 3.920,48 ;1455;109;104;
42;Richard Gilbert;0,715967524;07/07/1980 08:26;08/11/1985 08:26; 2.111,26 ;1872;102;83;
43;Steuen Pomarie;0,370440057;23/07/1978 05:24;10/08/1984 05:24; 3.466,23 ;1626;103;102;
44;Iohn Brocke;0,480117501;16/04/1942 10:12;19/01/1949 10:12; 9.402,16 ;1089;101;26;
45;Bennet Harrye;0,163968072;27/07/1992 08:39;15/08/1998 08:39; 3.878,34 ;663;107;43;
46;Iames Stevenson;0,722422093;06/10/2000 17:57;12/07/2007 17:57; 7.125,44 ;429;108;66;
47;Charles Stevenson;0,797369701;26/07/1965 19:42;30/04/1972 19:42; 1.543,65 ;1271;110;55;
48;Christopher Lowde;0,113266386;16/05/1910 10:28;28/06/1917 10:28; 9.194,39 ;1802;100;128;
49;Ieremie Man;0,180815264;25/08/1924 14:25;27/12/1929 14:25; 8.906,94 ;1810;110;7;
50;Iames Mason;0,233983429;16/06/1987 05:25;21/03/1994 05:25; 87,01 ;1857;104;126;
51;Dauvid Salter;0,576547457;05/11/1943 15:36;10/08/1950 15:36; 1.494,18 ;903;100;16;
52;Richard Ireland;0,818175142;13/12/1952 22:57;01/01/1959 22:57; 9.676,76 ;519;105;56;
53;Thomas Bookener;0,968258707;03/06/1975 12:27;08/03/1982 12:27; 5.417,99 ;1086;107;32;
54;William Philippes;0,031542296;05/08/1942 02:33;23/08/1948 02:33; 7.481,55 ;1620;108;89;
55;Randall Mayne;0,805785211;16/12/1922 20:47;18/04/1928 20:47; 2.938,64 ;1115;110;30;
56;Thomas Harvye;0,042729196;23/01/1920 13:25;28/10/1926 13:25; 7.439,01 ;1207;110;46;
57;Snelling Souza;0,045197286;09/07/1939 20:40;13/04/1946 20:40; 6.711,00 ;1895;108;15;
58;Anthony Russe;0,776697255;14/06/1926 10:46;23/02/1932 10:46; 7.335,07 ;1687;107;127;
59;Allyne Souza;0,151386066;22/09/2010 06:59;02/06/2016 06:59; 466,91 ;1598;107;65;
60;Michel Polyson;0,831055297;08/01/1981 03:03;12/05/1986 03:03; 2.237,46 ;1765;101;107;
61;Iohn Cage;0,632781376;17/06/1999 20:40;25/02/2005 20:40; 9.839,05 ;1479;108;61;
62;Thomas Parre;0,897567179;03/04/1936 03:24;13/12/1941 03:24; 2.124,79 ;1489;108;63;
